GEHF	Leucocoprinus sp. HH-2015f
GEHG	Leucocoprinus sp. HH-2015c
GEHH	Leucocoprinus sp. HH-2015a
GEHI	Leucocoprinus sp. HH-2015b
GEHJ	Ictalurus punctatus
GEHL	Phalotris mertensi
GEHM	Parvilacerta parva
GEHN	Apios americana
GEHO	Lamellibrachia satsuma
GEHP	Porites astreoides
GEHQ	Dinarolacerta mosorensis
GEHR	Phoenicolacerta troodica
GEHS	Podarcis cretensis
GEHT	Catonia nava
GEHU	Tettigarcta crinita
GEHV	Hyalella azteca
GEHW	Darevskia unisexualis
GEHX	Zootoca vivipara
GEHY	Triops newberryi
GEHZ	Lepidosiren paradoxa
GEIA	Hevea brasiliensis
GEIB	Carios mimon
GEIC	Betula papyrifera
GEID	Callinectes sapidus
GEIE	Sepia pharaonis
GEIF	Periplaneta americana
GEIG	Girardia dorotocephala
GEIH	Anasa tristis
GEII	Anasa tristis
GEIJ	Thionia simplex
GEIK	Tamasa doddi
GEIL	Tinobregmus viridescens
GEIM	Tettigades auropilosa
GEIN	Stenocotis depressa
GEIO	Scolypopa sp. KJ-2015
GEIP	Ozophora sp. KJ-2015
GEIQ	Platybrachys sp. KJ-2015
GEIR	Brachyplatys sp. KJ-2015
GEIT	Phaenacantha australiae
GEIU	Pachygrontha sp. KJ-2015
GEIW	Omolicna uhleri
GEIX	Microcentrus caryae
GEIY	Lipocallia australensis
GEIZ	Umbonia crassicornis
GEJB	Maoricicada tenuis
GEJC	Neocoelidia tumidifrons
GEJE	Macropsis decisa
GEJF	Kikihia scutellaris
GEJG	Idiocerus rotundens
GEJH	Jamella australiae
GEJK	Guineapsaltria flava
GEJL	Euacanthella palustris
GEJQ	Heteronotus sp. KJ-2015
GEJR	Lygaeidae sp. KJ-2015
GEJT	Clastoptera obtusa
GEJW	Epipyga sp. KJ-2015
GEJZ	Burbunga queenslandica
GEKH	Chilecicada sp. KJ-2015
GEKK	Phagocata morgani
GEKL	Perna viridis
GEKN	Nionia palmeri
GEKO	Pectinariophyes stalii
GEKT	Salvelinus alpinus
GEKU	Channa punctata
GEKW	Anemone flaccida
GEKX	Phragmites australis
GEKY	Channa punctata
GEKZ	Channa punctata
GELA	Ictalurus punctatus
GELB	Sparassis latifolia
GELC	Xestocephalus desertorum
GELE	Crepidula navicella
GELF	Bromus tectorum
GELG	Diachasmimorpha longicaudata
GELH	Pinctada fucata
GELI	Aegiceras corniculatum
GELJ	Rhipicephalus microplus
GELK	Noctiluca scintillans
GELL	Megalopta genalis
GELM	Corynactis australis
GELN	Ricordea yuma
GELO	Rhodactis indosinensis
GELP	Gocevia fonbrunei
GELQ	Unda schaefferi
GELR	Clydonella sp. ATCC 50884
GELS	Thecamoeba quadrilineata
GELT	Parvamoeba monoura
GELU	Vermistella antarctica
GELV	Micropterna lateralis
GELW	Taxillus chinensis
GELX	Brachionus plicatilis
GELY	Saccharum officinarum
GELZ	Nematolebias whitei
GEMA	Channa punctata
GEMB	Triatoma infestans
GEMC	Nasturtium officinale
GEMD	Posidonia oceanica
GEME	Penaeus monodon
GEMF	Takydromus sexlineatus
GEMG	Raphanus sativus
GEMH	Narenga porphyrocoma
GEMI	Pedicia vetusta
GEMJ	Rhipidia sejuga
GEMK	Liogma simplicicornis
GEML	Channa argus
GEMM	Cymodocea nodosa
GEMN	Pinus sylvestris
GEMO	Pteria penguin
GEMP	Hematodinium sp. SG-2012
GEMQ	Tityus obscurus
GEMR	Rhipicephalus microplus
GEMS	Rhopilema esculentum
GEMT	Dendrocalamus latiflorus
GEMU	Selaginella bryopteris
GEMV	Nicotiana obtusifolia
GEMW	Epipremnum aureum
GEMX	Mesocricetus auratus
GEMY	Alternaria sp. MG1
GEMZ	Entomophthora muscae
GENA	Entomophthora muscae
GENB	Entomophthora muscae
GENC	Entomophthora muscae
GEND	Entomophthora muscae
GENE	Dryophytes cinereus
GENF	Kryptolebias marmoratus
GENG	Phyllostachys edulis
GENH	Dryadaula visaliella
GENI	Palaephatus luteolus
GENJ	Phymatopus californicus
GENK	Mythimna separata
GENL	Gallus gallus gallus
GENM	Thyridopteryx ephemeraeformis
GENN	Tineola bisselliella
GENO	Tischeria quercitella
GENP	Acanthopteroctetes unifascia
GENQ	Ophryotrocha diadema
GENR	Eudarcia simulatricella
GENS	Ptyssoptera sp. AB-2015
GENT	Acanthopteroctetes unifascia
GENU	Acanthopteroctetes unifascia
GENV	Mucuna pruriens
GENW	Phalaenopsis aphrodite subsp. formosana
GENX	Agathiphaga queenslandensis
GENY	Agathiphaga queenslandensis
GENZ	Agathiphaga queenslandensis
GEOA	Andesiana lamellata
GEOB	Azaleodes micronipha
GEOC	Dyseriocrania griseocapitella
GEOD	Dryadaula visaliella
GEOE	Enteucha acetosae
GEOF	Eudarcia simulatricella
GEOG	Heterobathmia pseuderiocrania
GEOH	Ambrosia trifida
GEOI	Cylas formicarius
GEOJ	Lophocorona astiptica
GEOK	Metaphatus ochraceus
GEOL	Metaphatus ochraceus
GEOM	Metaphatus ochraceus
GEON	Palaephatus luteolus
GEOO	Phymatopus californicus
GEOP	Palaephatus nielseni
GEOQ	Thyridopteryx ephemeraeformis
GEOR	Tineola bisselliella
GEOS	Neopseustis meyricki
GEOT	Pseudopostega quadristrigella
GEOU	Tischeria quercitella
GEOV	Tegeticula yuccasella
GEOW	Photinus pyralis
GEOX	Euprymna scolopes
GEOY	Allium cepa
GEOZ	Pongamia pinnata
GEPA	Oxyacanthus curtus
GEPB	Oxyacanthus flavus
GEPC	Oxyacanthus sowinskii
GEPD	Brachyuropus grewingkii
GEPE	Acanthogammarus godlewskii
GEPF	Cornugammarus maximus
GEPG	Boeckaxelia carpenterii
GEPH	Boeckaxelia potanini
GEPI	Baikalogammarus pullus
GEPJ	Brandtia latissima
GEPK	Asprogammarus rhodophthalmus
GEPL	Carinurus bicarinatus
GEPM	Crypturopus inflatus
GEPN	Echiuropus macronychus
GEPO	Eucarinogammarus wagii
GEPP	Sluginella kietlinskii
GEPQ	Eulimnogammarus similis
GEPR	Heterogammarus sophianosii
GEPS	Eulimnogammarus cyaneus
GEPT	Eulimnogammarus marituji
GEPU	Eulimnogammarus viridulus
GEPV	Eulimnogammarus vittatus
GEPW	Eulimnogammarus cruentus
GEPX	Eulimnogammarus cruentus
GEPY	Eulimnogammarus czerskii
GEPZ	Eulimnogammarus messerschmidtii
GEQA	Eulimnogammarus sp. gam2quest
GEQB	Eulimnogammarus sp. gam16.4
GEQC	Eulimnogammarus verrucosus
GEQD	Garjajewia dershawini
GEQE	Gmelinoides fasciatus
GEQF	Hyalellopsis carinata
GEQG	Hyalellopsis costata
GEQH	Hyalellopsis grisea
GEQI	Hyalellopsis setosa
GEQJ	Hyalellopsis stebbingi
GEQK	Macrohectopus branickii
GEQL	Macropereiopus wagneri
GEQM	Macropereiopus parvus
GEQN	Micruropus glaber
GEQO	Micruropus parvulus
GEQP	Micruropus wahlii
GEQQ	Odontogammarus calcaratus
GEQR	Ommatogammarus albinus
GEQS	Ommatogammarus flavus
GEQT	Pachyschesis branchialis
GEQU	Pachyschesis branchialis
GEQV	Pentagonurus dawydowi
GEQW	Palicarinus puzyllii
GEQX	Pallasea cancelloides
GEQY	Pallaseopsis kessleri
GEQZ	Pallasea sp. gam7.3
GERA	Pandorites podoceroides
GERB	Parapallasea wosnessenskii
GERC	Eulimnogammarus testaceus
GERD	Gammarus lacustris
GERE	Homalogammarus brandtii
GERF	Pallasea cancelloides
GERG	Ptyssoptera sp. AB-2015
GERH	Linevichella vortex
GERI	Pallasea cancellus
GERJ	Pallasea grubei
GERK	Parapallasea borowskii
GERL	Poekilogammarus pictoides
GERM	Dorogostaiskia parasitica
GERO	Acopauropus ornatus
GERP	Araneus diadematus
GERQ	Callipus foetidissimus
GERS	Craspedosoma sp. AD-2016
GERT	Cryptops anomalans
GERU	Damon diadema
GERV	Egaenus convexus
GERW	Eupolybothrus fasciatus
GERX	Eupolybothrus tridentinus
GERY	Glomeridella minima
GERZ	Hanseniella nivea
GESA	Haploglomeris multistriata
GESB	Henia illyrica
GESH	Peripatoides novaezealandiae
GESI	Polydesmus complanatus
GESK	Strigamia acuminata
GESL	Schendyla carniolensis
GESM	Polyxenus lagurus
GESN	Polyzonium germanicum
GESO	Palythoa caribaeorum
GESP	Spodoptera frugiperda
GESQ	Eulimnogammarus ussolzewii
GESR	Eulimnogammarus violaceus
GESS	Tylototriton wenxianensis
GEST	Trifolium repens
GESU	Pinus canariensis
GESV	Clione limacina
GESW	Cymbidium longibracteatum
GESX	Swertia japonica
GESY	Asymmetron lucayanum
GESZ	Branchiostoma floridae
GETA	Branchiostoma floridae
GETB	Acanthogorgia aspera
GETC	Asymmetron lucayanum
GETD	Penaeus vannamei
GETE	Ornithodoros brasiliensis
GETF	Allium cepa
GETG	Larimichthys polyactis
GETH	Cyphastrea serailia
GETI	Manduca sexta
GETJ	Rosa chinensis
GETK	Gambierdiscus polynesiensis
GETL	Gambierdiscus excentricus
GETM	Varroa jacobsoni
GETN	Scirpophaga incertulas
GETO	Varroa jacobsoni
GETP	Varroa jacobsoni
GETQ	Rhagoletis pomonella
GETR	Pterygoplichthys anisitsi
GETS	Locusta migratoria manilensis
GETT	Meganyctiphanes norvegica
GETV	Xenodon merremii
GETW	Euphorbia tirucalli
GETX	Acipenser sinensis
GETY	Alosa alosa
GETZ	Penaeus vannamei
GEUA	Penaeus aztecus
GEUB	Lateolabrax japonicus
GEUC	Agrostis stolonifera
GEUD	Callosobruchus maculatus
GEUE	Callosobruchus maculatus
GEUF	Callosobruchus maculatus
GEUG	Amia calva
GEUH	Callosobruchus maculatus
GEUI	Cyclocarya paliurus
GEUJ	Alatina alata
GEUK	Opuntia ficus-indica
GEUL	Acipenser oxyrinchus
GEUN	Aureoumbra lagunensis
GEUO	Podosphaera xanthii
GEUP	Zenia insignis
GEUQ	Ctenopharyngodon idella
GEUR	Quercus kerrii
GEUS	Quercus austrocochinchinensis
GEUT	Scylla paramamosain
GEUU	Pisum sativum
GEUV	Manis javanica
GEUW	Tityus serrulatus
GEUX	Triticum aestivum
GEUY	Cenchrus americanus
GEUZ	Pinus lambertiana
GEVA	Phodopus campbelli
GEVB	Phodopus sungorus
GEVC	Trichomycterus areolatus
GEVD	Meccus pallidipennis
GEVE	Actinia tenebrosa
GEVF	Trachinotus blochii
GEVG	Basilichthys microlepidotus
GEVH	Salaria pavo
GEVI	Noccaea caerulescens
GEVJ	Cochliomyia hominivorax
GEVK	Noccaea caerulescens
GEVL	Noccaea caerulescens
GEVM	Noccaea caerulescens
GEVN	Veronica panormitana
GEVO	Veronica cymbalaria
GEVP	Veronica cymbalaria
GEVQ	Veronica hectorii subsp. coarctata
GEVR	Veronica ochracea
GEVS	Veronica planopetiolata
GEVT	Veronica catarractae
GEVU	Veronica trichadena
GEVV	[Candida] africana
GEVW	Candida albicans
GEVX	Fasciola hepatica
GEVY	Menidia menidia
GEVZ	Hydra vulgaris
GEWA	Paramoeba pemaquidensis
GEWB	Costaria costata
GEWC	Ecklonia radiata
GEWD	Saccharina latissima
GEWE	Laminaria digitata
GEWF	Lessonia nigrescens
GEWG	Chorda filum
GEWH	Nereocystis luetkeana
GEWI	Cymathaere triplicata
GEWJ	Egregia menziesii
GEWK	Pterygophora californica
GEWL	Pleurophycus gardneri
GEWM	Lessonia variegata
GEWN	Alaria esculenta
GEWO	Agarum clathratum
GEWP	Laminaria digitata
GEWQ	Ecklonia arborea
GEWR	Ilex paraguariensis
GEWS	Helianthus niveus
GEWT	Juniperus ashei
GEWU	Triticum aestivum
GEWV	Juniperus virginiana
GEWW	Juniperus monosperma
GEWX	Juniperus pinchotii
GEWY	Reticulitermes flavipes
GEWZ	Nephilengys cruentata
GEXA	Bothrops jararaca
GEXB	Rhodotorula toruloides
GEXC	Acanthogorgia aspera
GEXD	Nepenthes khasiana
GEXE	Euprymna tasmanica
GEXF	Sepioloidea lineolata
GEXG	Octopus kaurna
GEXH	Hapalochlaena maculosa
GEXI	Anadara broughtonii
GEXJ	Phragmites australis
GEXK	Lutjanus erythropterus
GEXL	Macrostomum lignano
GEXM	Oxysternon conspicillatum
GEXN	Malaclemys terrapin terrapin
GEXO	Malaclemys terrapin terrapin
GEXP	Coffea arabica
GEXQ	Malaclemys terrapin terrapin
GEXR	Malaclemys terrapin terrapin
